iter	Logloss
0	0.3976562583
1	0.2850120464
2	0.2428190662
3	0.2122218758
4	0.2040088027
5	0.1998386861
6	0.1972840205
7	0.1957187918
8	0.1936267618
9	0.1905543027
10	0.1895516478
11	0.1883723248
12	0.1878930196
13	0.187028957
14	0.1863948849
15	0.1855185799
16	0.1849828884
17	0.1845585943
18	0.1827429747
19	0.1818667305
20	0.1814923907
21	0.1808565089
22	0.1798495863
23	0.1792902565
24	0.1790875727
25	0.1787172046
26	0.178588219
27	0.1780324957
28	0.1777800088
29	0.1776618438
30	0.1773449049
31	0.1772159287
32	0.1767972595
33	0.1766095065
34	0.1762030298
35	0.1760449265
36	0.1755888759
37	0.1748380029
38	0.1746940728
39	0.1743839269
40	0.1742740226
41	0.1742079099
42	0.1738449449
43	0.1737473045
44	0.1733742428
45	0.1731803064
46	0.1730747267
47	0.1728170543
48	0.1727188914
49	0.1726155773
50	0.1724221431
51	0.1719455287
52	0.1718549784
53	0.1717182292
54	0.1713021138
55	0.1711994475
56	0.1707049249
57	0.1705899508
58	0.1704684978
59	0.170375079
60	0.1702399016
61	0.1701480943
62	0.1697857823
63	0.1696025372
64	0.1694755992
65	0.1693524406
66	0.169282116
67	0.1691888319
68	0.1687449225
69	0.1686486175
70	0.1685785148
71	0.1684956559
72	0.1684073993
73	0.1683430609
74	0.16825133
75	0.1681798564
76	0.1681130054
77	0.1680427872
78	0.1679580094
79	0.1678838367
80	0.1677717528
81	0.1676898315
82	0.1674213131
83	0.1673223046
84	0.1672537129
85	0.167166895
86	0.1670085951
87	0.1669284731
88	0.1668463799
89	0.1667704621
90	0.1665352466
91	0.1664496427
92	0.1663737141
93	0.1662914821
94	0.1662481873
95	0.166196832
96	0.1661533992
97	0.1660683703
98	0.1659607261
99	0.1657935281
100	0.165719961
101	0.1656387049
102	0.16554785
103	0.1654858151
104	0.1654099534
105	0.1653491318
106	0.1651231324
107	0.1650264445
108	0.1648950983
109	0.1648000195
110	0.1647230537
111	0.1646649144
112	0.1646007107
113	0.1645680098
114	0.1643233269
115	0.1642777763
116	0.1642114559
117	0.1640734197
118	0.1640279822
119	0.163959363
120	0.1638944927
121	0.1638277329
122	0.1637694466
123	0.1637360217
124	0.1636746015
125	0.1636049949
126	0.1635482441
127	0.1635129772
128	0.1634476519
129	0.1634047728
130	0.1633437363
131	0.1632380843
132	0.1631883404
133	0.1631161037
134	0.1630675465
135	0.1629944024
136	0.162913182
137	0.162856276
138	0.1627843497
