iter	Passed	Remaining
0	94	37662
1	128	25647
2	163	21614
3	209	20705
4	249	19726
5	285	18773
6	326	18314
7	361	17698
8	398	17297
9	442	17248
10	483	17085
11	523	16923
12	561	16718
13	599	16538
14	635	16311
15	679	16299
16	718	16178
17	756	16046
18	800	16051
19	840	15960
20	875	15808
21	923	15865
22	961	15758
23	1004	15729
24	1045	15688
25	1088	15650
26	1124	15531
27	1171	15565
28	1207	15441
29	1241	15317
30	1281	15255
31	1320	15186
32	1369	15227
33	1405	15130
34	1443	15057
35	1482	14986
36	1517	14891
37	1555	14813
38	1599	14806
39	1639	14757
40	1675	14669
41	1710	14583
42	1747	14507
43	1789	14481
44	1837	14498
45	1874	14428
46	1910	14352
47	1950	14303
48	1987	14238
49	2024	14170
50	2070	14168
51	2113	14142
52	2149	14072
53	2187	14018
54	2228	13975
55	2265	13916
56	2313	13918
57	2355	13890
58	2392	13827
59	2428	13762
60	2469	13723
61	2504	13655
62	2551	13650
63	2588	13588
64	2628	13549
65	2667	13500
66	2705	13446
67	2741	13385
68	2795	13410
69	2834	13363
70	2869	13297
71	2909	13256
72	2949	13213
73	2987	13162
74	3037	13161
75	3074	13106
76	3112	13055
77	3147	12995
78	3185	12941
79	3223	12895
80	3267	12869
81	3307	12826
82	3348	12787
83	3383	12728
84	3422	12682
85	3462	12641
86	3508	12623
87	3547	12578
88	3585	12528
89	3622	12475
90	3659	12427
91	3700	12388
92	3752	12387
93	3798	12365
94	3836	12318
95	3876	12274
96	3910	12213
97	3947	12164
98	3996	12149
99	4054	12164
100	4098	12132
101	4136	12085
102	4171	12028
103	4217	12004
104	4258	11964
105	4298	11920
106	4336	11874
107	4371	11820
108	4411	11778
109	4466	11776
110	4510	11743
111	4547	11693
112	4584	11642
113	4618	11587
114	4656	11540
115	4702	11513
116	4742	11470
117	4785	11436
118	4822	11388
119	4858	11335
120	4894	11286
121	4943	11264
122	4981	11218
123	5017	11167
124	5057	11127
125	5092	11074
126	5129	11026
127	5174	10996
